date,difficulty,market_price
2014-09-06,27428630902.2579,485.91
2014-09-10,27428630902.2579,473.35
2014-09-14,29829733124.0404,476.92
2014-09-18,29829733124.0404,453.9
2014-09-22,29829733124.0404,401.15
2014-09-26,34661425923.9769,410.19
2014-09-30,34661425923.9769,373.87
2014-10-04,34661425923.9769,358.9
2014-10-08,34661425923.9769,334.06
2014-10-12,35002482026.1332,361.95
2014-10-16,35002482026.1332,394.84
2014-10-20,35002482026.1332,389.44
2014-10-24,35985640265.0762,357.2
2014-10-28,35985640265.0762,350.9
2014-11-01,35985640265.0762,337.79
2014-11-05,39603666252.4184,330.23
2014-11-09,39603666252.4184,346.94
2014-11-13,39603666252.4184,420.19
2014-11-17,39603666252.4184,389.87
2014-11-21,40300030327.8914,356.47
2014-11-25,40300030327.8914,374.58
2014-11-29,40300030327.8914,376.98
2014-12-03,40300030327.8914,379.62
2014-12-07,40007470271.2713,375.05
2014-12-11,40007470271.2713,348.79
2014-12-15,40007470271.2713,357.8
2014-12-19,39457671307.1387,312.26
2014-12-23,39457671307.1387,331.98
2014-12-27,39457671307.1387,329.94
2014-12-31,40640955016.5765,311.0
2015-01-04,40640955016.5765,285.09
2015-01-08,40640955016.5765,297.99
2015-01-12,43971662056.0896,269.68
2015-01-16,43971662056.0896,210.21
2015-01-20,43971662056.0896,216.01
2015-01-24,43971662056.0896,233.71
2015-01-28,41272873894.697,263.52
2015-02-01,41272873894.697,219.25
2015-02-05,41272873894.697,226.71
2015-02-09,44455415962.3438,223.93
2015-02-13,44455415962.3438,222.33
2015-02-17,44455415962.3438,234.5
2015-02-21,44455415962.3438,245.78
2015-02-25,46684376316.8603,239.94
2015-03-01,46684376316.8603,253.5
2015-03-05,46684376316.8603,270.06
2015-03-09,47427554950.6483,275.0
2015-03-13,47427554950.6483,294.9
2015-03-17,47427554950.6483,289.28
2015-03-21,47427554950.6483,262.1
2015-03-25,46717549644.7064,245.0
2015-03-29,46717549644.7064,252.96
2015-04-02,46717549644.7064,246.49
2015-04-06,49446390688.2414,260.52
2015-04-10,49446390688.2414,243.0
2015-04-14,49446390688.2414,223.01
2015-04-18,49446390688.2414,222.64
2015-04-22,47610564513.4713,235.85
2015-04-26,47610564513.4713,226.29
2015-04-30,47610564513.4713,225.62
2015-05-04,47643398017.8034,239.47
2015-05-08,47643398017.8034,237.16
2015-05-12,47643398017.8034,240.95
2015-05-16,47643398017.8034,237.37
2015-05-20,48807487244.6814,231.4
2015-05-24,48807487244.6814,237.76
2015-05-28,48807487244.6814,235.31
2015-06-01,48807487244.6814,228.34
2015-06-05,47589591153.625,222.88
2015-06-09,47589591153.625,227.66
2015-06-13,47589591153.625,229.6
2015-06-17,49692386354.8938,249.98
2015-06-21,49692386354.8938,244.75
2015-06-25,49692386354.8938,240.2
2015-06-29,49402014931.2275,248.57
2015-07-03,49402014931.2275,254.68
2015-07-07,49402014931.2275,268.53
2015-07-11,49402014931.2275,284.92
2015-07-15,51076366303.4819,287.92
2015-07-19,51076366303.4819,276.74
2015-07-23,51076366303.4819,277.97
2015-07-27,52278304845.5917,292.82
2015-07-31,52278304845.5917,288.45
2015-08-04,52278304845.5917,281.12
2015-08-08,52699842409.347,279.32
2015-08-12,52699842409.347,270.98
2015-08-16,52699842409.347,261.43
2015-08-20,52699842409.347,226.25
2015-08-24,54256630327.89,228.14
2015-08-28,54256630327.89,225.11
2015-09-01,54256630327.89,230.25
2015-09-05,56957648455.01,230.73
2015-09-09,56957648455.01,244.21
2015-09-13,56957648455.01,234.73
2015-09-17,56957648455.01,228.33
2015-09-21,59335351233.8666,230.16
2015-09-25,59335351233.8666,234.0
2015-09-29,59335351233.8666,239.14
2015-10-03,60813224039.4403,237.77
2015-10-07,60813224039.4403,246.8
2015-10-11,60813224039.4403,245.72
2015-10-15,60883825480.0983,252.47
2015-10-19,60883825480.0983,261.04
2015-10-23,60883825480.0983,274.35
2015-10-27,60883825480.0983,286.69
2015-10-31,62253982449.7608,328.17
2015-11-04,62253982449.7608,404.5
2015-11-08,62253982449.7608,387.02
2015-11-12,65848255179.7026,308.98
2015-11-16,65848255179.7026,318.97
2015-11-20,65848255179.7026,325.9
2015-11-24,72722780642.5472,323.48
2015-11-28,72722780642.5472,358.0
2015-12-02,72722780642.5472,362.58
2015-12-06,72722780642.5472,386.95
2015-12-10,79102380900.226,416.49
2015-12-14,79102380900.226,433.39
2015-12-18,79102380900.226,456.58
2015-12-22,93448670796.3238,438.35
2015-12-26,93448670796.3238,455.5
2015-12-30,93448670796.3238,433.23
2016-01-03,103880340815.456,432.76
2016-01-07,103880340815.456,429.26
2016-01-11,103880340815.456,448.43
2016-01-15,113354299801.471,429.55
2016-01-19,113354299801.471,385.49
2016-01-23,113354299801.471,381.5
2016-01-27,120033340651.237,391.66
2016-01-31,120033340651.237,376.6
