"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/25/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/24/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/21/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/20/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/19/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/18/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/14/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/13/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/12/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/11/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/10/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/07/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/06/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/05/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/04/2022","0.08","0.08","0.08","0.08","","0.00%"
"01/03/2022","0.08","0.08","0.08","0.08","","14.29%"
"12/31/2021","0.07","0.07","0.07","0.07","","-12.50%"
"12/30/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/29/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/28/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/27/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/24/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/23/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/22/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/21/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/20/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/17/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/16/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/15/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/14/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/13/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/10/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/09/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/08/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/07/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/06/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/03/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/02/2021","0.08","0.08","0.08","0.08","","0.00%"
"12/01/2021","0.08","0.08","0.08","0.08","","14.29%"
"11/30/2021","0.07","0.07","0.07","0.07","","-12.50%"
"11/29/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/26/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/24/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/23/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/22/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/19/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/18/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/17/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/16/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/15/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/12/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/10/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/09/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/08/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/05/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/04/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/03/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/02/2021","0.08","0.08","0.08","0.08","","0.00%"
"11/01/2021","0.08","0.08","0.08","0.08","","14.29%"
"10/29/2021","0.07","0.07","0.07","0.07","","-12.50%"
"10/28/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/27/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/26/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/25/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/22/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/21/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/20/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/19/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/18/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/15/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/14/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/13/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/12/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/08/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/07/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/06/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/05/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/04/2021","0.08","0.08","0.08","0.08","","0.00%"
"10/01/2021","0.08","0.08","0.08","0.08","","33.33%"
"09/30/2021","0.06","0.06","0.06","0.06","","-25.00%"
"09/29/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/28/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/27/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/24/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/23/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/22/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/21/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/20/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/17/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/16/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/15/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/14/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/13/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/10/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/09/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/08/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/07/2021","0.08","0.08","0.08","0.08","","0.00%"
"09/03/2021","0.08","0.08","0.08","0.08","","0.00%"
